"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","6.3","84.7","0.8","0.0","13.4"
"","high","7.2","110.0","1.0","0.0","15.8"
"","low","5.5","76.7","0.7","0.1","11.7"
"Zach Ertz","PHI","6.4","69.5","0.6","0.0","10.7"
"","high","7.0","75.0","1.0","0.0","13.0"
"","low","5.3","65.7","0.5","0.1","9.6"
"George Kittle","SF","5.3","69.1","0.5","0.0","9.7"
"","high","6.0","80.6","1.0","0.0","13.0"
"","low","4.0","51.8","0.3","0.1","8.1"
"Eric Ebron","IND","4.6","54.4","0.7","0.0","9.7"
"","high","5.0","61.9","1.0","0.0","12.0"
"","low","4.2","47.0","0.6","0.0","8.0"
"Rob Gronkowski","NE","4.2","61.8","0.6","0.0","9.7"
"","high","4.5","68.6","1.0","0.0","12.0"
"","low","4.0","59.6","0.4","0.1","8.4"
"Jared Cook","OAK","4.1","52.0","0.5","0.0","8.1"
"","high","4.5","60.0","1.0","0.0","10.5"
"","low","3.8","45.0","0.2","0.1","7.2"
"David Njoku","CLE","4.2","46.2","0.5","0.1","7.2"
"","high","5.0","55.0","1.0","0.0","11.5"
"","low","3.5","37.0","0.3","0.2","5.5"
"Jordan Reed","WAS","4.7","48.1","0.4","0.0","7.1"
"","high","7.0","60.0","1.0","0.0","12.0"
"","low","3.4","38.8","0.2","0.1","5.1"
"Cameron Brate","TB","3.5","39.3","0.5","0.0","7.1"
"","high","4.0","43.0","1.0","0.0","9.5"
"","low","3.0","34.8","0.3","0.1","5.9"
"Vance McDonald","PIT","3.3","37.5","0.4","0.1","5.9"
"","high","4.0","40.0","1.0","0.0","10.0"
"","low","3.0","33.7","0.2","0.1","4.8"
"Kyle Rudolph","MIN","4.0","40.7","0.2","0.0","5.5"
"","high","4.1","45.0","0.4","0.0","6.2"
"","low","3.7","36.0","0.0","0.0","4.5"
"Gerald Everett","LAR","2.3","26.8","0.4","0.0","5.2"
"","high","4.0","40.0","1.0","0.0","10.0"
"","low","1.3","18.9","0.2","0.0","3.3"
"Austin Hooper","ATL","4.1","40.1","0.2","0.0","5.1"
"","high","4.5","41.9","0.3","0.0","6.0"
"","low","3.9","36.7","0.0","0.0","4.0"
"Jimmy Graham","GB","3.0","37.9","0.2","0.0","5.1"
"","high","3.7","48.2","0.4","0.0","6.4"
"","low","2.5","30.1","0.0","0.0","3.5"
"Chris Herndon IV","NYJ","3.4","36.5","0.2","0.0","5.0"
"","high","4.0","40.0","0.4","0.0","6.3"
"","low","2.9","32.5","0.0","0.0","3.9"
"Trey Burton","CHI","3.4","37.5","0.2","0.0","5.0"
"","high","4.0","42.6","0.3","0.0","5.9"
"","low","3.0","33.6","0.0","0.1","4.0"
"Jonnu Smith","TEN","2.7","30.5","0.2","0.0","4.3"
"","high","4.0","45.0","0.4","0.0","4.9"
"","low","1.6","21.2","0.0","0.0","3.5"
"C.J. Uzomah","CIN","2.9","30.3","0.2","0.0","4.0"
"","high","4.0","40.0","0.3","0.0","5.1"
"","low","2.4","23.3","0.0","0.0","3.2"
"Matt LaCosse","DEN","2.7","30.4","0.2","0.0","4.0"
"","high","3.0","35.0","0.3","0.0","5.0"
"","low","2.3","24.5","0.0","0.1","3.5"
"Nick Vannett","SEA","2.4","25.9","0.2","0.0","4.0"
"","high","3.0","30.0","0.4","0.0","5.2"
"","low","2.0","20.5","0.0","0.0","3.0"
"Rhett Ellison","NYG","3.0","30.9","0.1","0.0","4.0"
"","high","3.3","35.0","0.2","0.0","4.5"
"","low","2.6","25.5","0.0","0.0","3.2"
"Ryan Griffin","HOU","2.3","26.0","0.2","0.0","3.5"
"","high","3.0","30.0","0.2","0.0","3.9"
"","low","1.6","18.9","0.0","0.0","3.0"
"James O'Shaughnessy","JAC","2.5","27.3","0.1","0.0","3.4"
"","high","3.0","35.0","0.2","0.0","3.7"
"","low","2.3","23.2","0.0","0.0","2.9"
"Jesse James","PIT","2.1","23.7","0.2","0.0","3.4"
"","high","2.6","31.6","0.3","0.0","4.4"
"","low","1.9","18.0","0.0","0.0","2.0"
"Ricky Seals-Jones","ARI","2.5","28.4","0.1","0.0","3.4"
"","high","3.0","33.0","0.2","0.0","4.1"
"","low","2.2","22.7","0.0","0.1","2.8"
"Vernon Davis","WAS","1.9","25.7","0.1","0.0","3.2"
"","high","3.0","30.0","0.3","0.0","3.8"
"","low","1.5","22.9","0.0","0.0","2.8"
"Antonio Gates","LAC","2.0","22.8","0.2","0.0","3.1"
"","high","2.4","27.0","0.3","0.0","4.1"
"","low","1.7","18.8","0.0","0.1","2.0"
"Benjamin Watson","NO","2.1","22.1","0.2","0.0","3.1"
"","high","2.5","25.4","0.2","0.0","3.7"
"","low","1.6","17.6","0.0","0.0","2.0"
"Mark Andrews","BAL","1.6","19.6","0.1","0.0","2.8"
"","high","2.0","22.7","0.3","0.0","4.0"
"","low","1.3","16.0","0.0","0.0","2.0"
"Tyler Higbee","LAR","1.6","19.2","0.1","0.0","2.8"
"","high","2.2","27.0","0.3","0.0","4.4"
"","low","1.0","10.0","0.0","0.0","1.0"
"Jordan Thomas","HOU","1.4","16.4","0.2","0.0","2.8"
"","high","1.8","21.8","0.3","0.0","4.0"
"","low","1.1","13.9","0.1","0.1","2.1"
"Luke Willson","DET","1.8","18.5","0.2","0.0","2.7"
"","high","2.7","29.0","0.3","0.0","4.5"
"","low","1.0","9.2","0.0","0.0","1.0"
"Ed Dickson","SEA","1.5","17.4","0.2","0.0","2.7"
"","high","2.0","23.5","0.3","0.0","4.2"
"","low","1.0","14.0","0.0","0.0","2.0"
"Charles Clay","BUF","2.2","23.6","0.1","0.0","2.7"
"","high","3.1","31.9","0.1","0.0","3.8"
"","low","0.9","8.9","0.0","0.1","1.3"
"Dan Arnold","NO","1.7","20.0","0.1","0.0","2.6"
"","high","2.5","30.0","0.2","0.0","4.2"
"","low","1.3","13.7","0.0","0.1","1.7"
"Nick O'Leary","MIA","1.4","16.6","0.1","0.0","2.4"
"","high","1.8","24.2","0.3","0.0","4.1"
"","low","0.6","6.7","0.1","0.1","1.3"
"Dallas Goedert","PHI","1.4","15.0","0.1","0.0","2.3"
"","high","1.7","19.6","0.3","0.0","3.8"
"","low","1.0","10.0","0.0","0.0","1.0"
"Virgil Green","LAC","1.6","16.1","0.1","0.0","2.2"
"","high","2.0","21.0","0.2","0.0","2.7"
"","low","1.4","12.8","0.0","0.1","1.5"
"Erik Swoope","IND","1.2","12.4","0.2","0.1","2.2"
"","high","2.1","22.1","0.3","0.0","4.0"
"","low","0.3","3.3","0.1","0.2","1.0"
"Hayden Hurst","BAL","1.4","14.9","0.1","0.0","2.1"
"","high","2.0","21.0","0.2","0.0","2.9"
"","low","1.0","10.0","0.0","0.0","1.0"
"Jason Croom","BUF","1.4","15.5","0.1","0.1","2.1"
"","high","1.8","20.2","0.2","0.0","3.0"
"","low","0.5","4.2","0.0","0.1","0.5"
"Demetrius Harris","KC","1.0","13.0","0.1","0.0","2.1"
"","high","1.3","17.0","0.2","0.0","2.9"
"","low","0.9","10.0","0.0","0.1","1.0"
"Blake Jarwin","DAL","1.5","15.8","0.1","0.0","2.0"
"","high","2.1","21.8","0.1","0.0","2.8"
"","low","0.5","5.1","0.0","0.0","0.8"
"Mike Gesicki","MIA","1.7","15.6","0.1","0.1","2.0"
"","high","2.5","24.0","0.2","0.0","3.4"
"","low","0.9","4.9","0.0","0.2","0.7"
"Anthony Firkser","TEN","1.1","13.6","0.1","0.0","1.9"
"","high","2.5","31.2","0.2","0.0","4.3"
"","low","0.4","4.5","0.0","0.0","0.7"
"Josh Hill","NO","1.2","12.4","0.1","0.0","1.9"
"","high","1.5","16.3","0.1","0.0","2.3"
"","low","0.9","9.1","0.1","0.0","1.5"
"Jordan Akins","HOU","1.1","12.3","0.1","0.0","1.8"
"","high","1.2","14.6","0.1","0.0","1.9"
"","low","0.9","11.2","0.1","0.0","1.7"
"Nick Boyle","BAL","1.4","13.1","0.1","0.0","1.7"
"","high","1.8","16.0","0.1","0.0","2.2"
"","low","1.0","10.0","0.0","0.0","1.0"
"Luke Stocker","TEN","0.9","10.6","0.1","0.1","1.7"
"","high","1.3","15.3","0.2","0.0","2.5"
"","low","0.6","6.0","0.1","0.2","1.2"
"Jermaine Gresham","ARI","1.4","13.4","0.1","0.0","1.7"
"","high","1.8","17.8","0.1","0.0","2.4"
"","low","1.1","7.9","0.0","0.1","1.1"
"Lance Kendricks","GB","1.2","12.0","0.1","0.0","1.6"
"","high","1.3","14.0","0.1","0.0","1.9"
"","low","1.0","10.0","0.0","0.0","1.0"
"Jordan Leggett","NYJ","1.0","10.7","0.1","0.0","1.6"
"","high","1.1","12.0","0.1","0.0","1.7"
"","low","0.9","9.6","0.1","0.1","1.6"
"Adam Shaheen","CHI","0.7","7.6","0.1","0.0","1.5"
"","high","1.3","13.9","0.3","0.0","3.2"
"","low","0.3","2.8","0.0","0.1","0.5"
"Blake Bell","JAC","0.9","10.4","0.1","0.0","1.4"
"","high","1.4","14.9","0.1","0.0","2.1"
"","low","0.3","3.5","0.0","0.1","0.4"
"Brian Parker","DEN","0.9","9.6","0.1","0.0","1.4"
"","high","1.4","15.4","0.1","0.0","2.1"
"","low","0.1","0.6","0.0","0.0","0.1"
"Darren Fells","CLE","0.7","8.6","0.1","0.0","1.4"
"","high","1.1","13.0","0.2","0.0","2.3"
"","low","0.2","2.5","0.0","0.0","0.3"
"Levine Toilolo","DET","0.9","9.2","0.1","0.0","1.4"
"","high","1.7","18.3","0.2","0.0","3.0"
"","low","0.3","3.1","0.0","0.1","0.3"
"Derek Carrier","OAK","0.9","9.3","0.1","0.0","1.2"
"","high","1.6","17.3","0.1","0.0","2.3"
"","low","0.4","3.8","0.0","0.1","0.5"
"Seth DeValve","CLE","0.6","7.7","0.1","0.0","1.1"
"","high","0.9","11.4","0.2","0.0","2.0"
"","low","0.2","3.0","0.0","0.0","0.4"
"Dalton Schultz","DAL","0.7","7.4","0.1","0.0","1.0"
"","high","1.4","15.0","0.1","0.0","2.0"
"","low","0.3","2.5","0.0","0.1","0.3"
"Antony Auclair","TB","0.6","7.0","0.1","0.0","1.0"
"","high","0.9","11.7","0.1","0.0","1.8"
"","low","0.3","2.1","0.0","0.0","0.3"
"Logan Thomas","BUF","1.0","10.0","0.0","0.0","1.0"
"","high","1.0","10.0","0.0","0.0","1.0"
"","low","1.0","10.0","0.0","0.0","1.0"
"Michael Roberts","DET","1.0","10.0","0.0","0.0","1.0"
"","high","1.0","10.0","0.0","0.0","1.0"
"","low","1.0","10.0","0.0","0.0","1.0"
"Garrett Celek","SF","0.5","6.5","0.1","0.0","1.0"
"","high","0.9","11.2","0.1","0.0","1.5"
"","low","0.3","4.0","0.0","0.0","0.6"
"Scott Simonson","NYG","0.7","7.1","0.1","0.0","1.0"
"","high","1.5","16.0","0.1","0.0","2.1"
"","low","0.1","0.9","0.0","0.1","0.2"
"Maxx Williams","BAL","0.7","5.6","0.1","0.0","0.9"
"","high","1.4","10.8","0.2","0.0","2.2"
"","low","0.3","3.0","0.0","0.0","0.3"
"Durham Smythe","MIA","0.6","6.1","0.1","0.0","0.9"
"","high","1.0","10.6","0.1","0.0","1.7"
"","low","0.2","1.6","0.0","0.0","0.2"
"Rico Gathers","DAL","0.6","7.0","0.0","0.0","0.9"
"","high","1.0","11.8","0.1","0.0","1.8"
"","low","0.2","2.6","0.0","0.0","0.3"
"Robert Tonyan","GB","0.4","5.9","0.0","0.0","0.9"
"","high","0.8","10.8","0.1","0.0","1.7"
"","low","0.2","2.7","0.0","0.0","0.3"
"Lee Smith","OAK","0.6","5.8","0.0","0.0","0.8"
"","high","1.0","10.8","0.1","0.0","1.7"
"","low","0.3","2.7","0.0","0.0","0.3"
"Ben Koyack","JAC","0.5","5.3","0.0","0.0","0.8"
"","high","1.1","12.7","0.2","0.0","2.2"
"","low","0.2","2.5","0.0","0.0","0.3"
"Eric Tomlinson","NYJ","0.6","6.0","0.0","0.0","0.7"
"","high","0.8","9.0","0.1","0.0","1.1"
"","low","0.3","2.5","0.0","0.0","0.3"
"Matt Lengel","CIN","0.4","4.7","0.0","0.0","0.7"
"","high","0.8","8.4","0.1","0.0","1.4"
"","low","0.2","2.1","0.0","0.0","0.4"
"Tyler Conklin","NE","0.5","4.4","0.0","0.0","0.6"
"","high","0.8","8.6","0.1","0.0","1.5"
"","low","0.3","2.0","0.0","0.0","0.2"
"Ian Thomas","CAR","0.5","5.1","0.0","0.0","0.6"
"","high","0.7","6.3","0.0","0.0","0.9"
"","low","0.4","4.0","0.0","0.0","0.5"
"Marcedes Lewis","GB","0.3","3.7","0.0","0.0","0.6"
"","high","0.4","5.0","0.1","0.0","0.8"
"","low","0.2","2.5","0.0","0.0","0.3"
"Jacob Hollister","NE","0.4","4.8","0.0","0.0","0.5"
"","high","0.7","7.7","0.0","0.0","1.0"
"","low","0.2","2.6","0.0","0.0","0.3"
"Richard Rodgers","PHI","0.4","4.3","0.0","0.0","0.5"
"","high","0.4","4.9","0.0","0.0","0.6"
"","low","0.3","3.8","0.0","0.0","0.5"
"Sean Culkin","LAC","0.2","2.7","0.0","0.0","0.5"
"","high","0.3","3.0","0.1","0.0","0.9"
"","low","0.2","2.3","0.0","0.0","0.2"
"Logan Paulsen","ATL","0.4","3.7","0.0","0.0","0.5"
"","high","0.8","7.8","0.1","0.0","1.4"
"","low","0.1","0.8","0.0","0.1","0.1"
"Alan Cross","TB","0.2","2.7","0.1","0.1","0.4"
"","high","0.5","5.3","0.1","0.0","1.1"
"","low","0.0","0.0","0.0","0.1","0.0"
"Jordan Franks","CIN","0.2","2.7","0.0","0.0","0.4"
"","high","0.2","3.2","0.1","0.0","0.8"
"","low","0.2","2.3","0.0","0.0","0.2"
"MyCole Pruitt","TEN","0.2","1.6","0.0","0.0","0.4"
"","high","0.3","2.9","0.1","0.0","1.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Ross Dwelley","SF","0.2","2.9","0.0","0.0","0.4"
"","high","0.3","3.2","0.0","0.0","0.5"
"","low","0.2","2.6","0.0","0.0","0.3"
"Temarrick Hemingway","DEN","0.2","3.0","0.0","0.0","0.3"
"","high","0.3","3.5","0.0","0.0","0.5"
"","low","0.2","2.5","0.0","0.0","0.3"
"Joshua Perkins","PHI","0.2","2.2","0.0","0.0","0.3"
"","high","0.2","2.2","0.0","0.0","0.4"
"","low","0.2","2.2","0.0","0.0","0.4"
"Dion Sims","CHI","0.4","2.7","0.0","0.0","0.3"
"","high","0.4","2.7","0.0","0.0","0.4"
"","low","0.4","2.7","0.0","0.0","0.4"
"Darren Waller","OAK","0.2","2.4","0.0","0.0","0.3"
"","high","0.3","3.8","0.0","0.0","0.5"
"","low","0.1","1.0","0.0","0.0","0.1"
"Jerell Adams","HOU","0.2","1.9","0.0","0.0","0.3"
"","high","0.3","3.9","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0"
"Xavier Grimble","PIT","0.3","2.9","0.0","0.0","0.3"
"","high","0.4","4.0","0.0","0.0","0.6"
"","low","0.2","1.6","0.0","0.0","0.2"
"Eric Saubert","ATL","0.3","2.8","0.0","0.0","0.3"
"","high","0.5","4.0","0.0","0.0","0.5"
"","low","0.1","1.3","0.0","0.0","0.1"
"Ben Braunecker","CHI","0.2","1.9","0.0","0.0","0.2"
"","high","0.3","2.4","0.0","0.0","0.4"
"","low","0.1","1.1","0.0","0.0","0.1"
"Daniel Brown","CHI","0.1","1.4","0.0","0.0","0.2"
"","high","0.3","2.8","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0"
"John Phillips","ARI","0.2","1.7","0.0","0.0","0.2"
"","high","0.3","3.4","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0"
"Darrell Daniels","ARI","0.1","1.1","0.0","0.0","0.2"
"","high","0.3","2.0","0.0","0.0","0.4"
"","low","0.0","0.3","0.0","0.0","0.0"
"Orson Charles","CLE","0.1","1.5","0.0","0.0","0.2"
"","high","0.2","2.6","0.0","0.0","0.3"
"","low","0.1","0.9","0.0","0.0","0.1"
"Chris Manhertz","CAR","0.2","1.4","0.0","0.0","0.1"
"","high","0.2","1.4","0.0","0.0","0.1"
"","low","0.2","1.4","0.0","0.0","0.1"
"Jeremy Sprinkle","WAS","0.1","0.7","0.0","0.0","0.1"
"","high","0.1","0.7","0.0","0.0","0.1"
"","low","0.1","0.6","0.0","0.0","0.1"
"Ryan Hewitt","IND","0.1","0.8","0.0","0.0","0.1"
"","high","0.1","1.0","0.0","0.0","0.2"
"","low","0.1","0.6","0.0","0.0","0.1"
"Hakeem Valles","NYG","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Garrett Dickerson","NYG","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","DEN","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Garrett Griffin","NO","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Jevoni Robinson","HOU","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Deon Yelder","KC","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Henry Krieger Coble","LAR","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Clark Harris","CIN","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Will Tye","PHI","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Austin Roberts","LAC","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Bucky Hodges","PIT","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Cole Wick","SF","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
"Stephen Anderson","NE","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0"
""
""